Date,Username,User tag,Content,Mentions,link
"2023-03-20,21:40:36","leftwild","#0","/play me gustas tu","",""
"2023-03-20,21:41:16","Green-bot","#5315","","",""
"2023-03-20,21:43:17","Green-bot","#5315","","",""
"2023-03-20,21:44:50","Green-bot","#5315","","",""
"2023-03-20,21:48:49","Green-bot","#5315","","",""
"2023-03-20,22:15:39","Patchoras","#0310","*play As Meninas da Ribeira do Sado (Hardblend Remix)","",""
"2023-03-20,22:15:54","Flow Music","#6823","","",""
"2023-03-20,22:16:04","Flow Music","#6823","Now playing **As Menina da Pecuária (Remix)** from **Dj Chris No Beat/Ana Castela/Léo & Raphael**, requested by **<@220271899656060928>**.","",""
"2023-03-20,22:16:13","Flow Music","#6823","The music has been stopped, disconnecting.","",""
"2023-03-20,23:09:27","MangalhoDePauPT","#2657","https://img-9gag-fun.9cache.com/photo/a9q6Wx0_460svav1.mp4","",""
"2023-03-21,18:29:50","Flow Music","#6823","","",""
"2023-03-21,18:29:57","Flow Music","#6823","Now playing **Baianá** from **Bakermat**, requested by **<@220271899656060928>**.","",""
"2023-03-21,18:33:00","Flow Music","#6823","The queue has ended, disconnecting from the channel.","",""
"2023-03-21,18:33:18","Green-bot","#5315","","",""
"2023-03-22,00:14:16","Green-bot","#5315","","",""
"2023-03-22,19:13:20","Flow Music","#6823","","",""
"2023-03-22,19:14:03","Flow Music","#6823","There is nothing playing.","",""
"2023-03-22,19:14:32","Tempo","#1917","<@220271899656060928> | Added `Isabella` by `Irmãos Verdades` to the queue.","Patchoras#0310",""
"2023-03-22,19:25:30","Tempo","#1917","To save on bandwidth, I've automatically left the voice channel due to inactivity.

To disable this, you can purchase Premium on our website: https://tempobot.net/premium
You can also unlock exclusive features like AutoPlay, Playlists, Volume Control and more!","",""
"2023-03-23,21:55:20","MangalhoDePauPT","#2657","https://9gag.com/gag/a5X6WEr?utm_source=copy_link&utm_medium=post_share","",""
"2023-03-23,21:59:27","Tempo","#1917","<@220271899656060928> | Added `Tovschuur Hogjim` by `Sedaa` to the queue.","Patchoras#0310",""
"2023-03-23,21:59:42","Tempo","#1917","It's sad to say goodbye, I've stopped playing music and left the voice channel. :frowning:","",""
"2023-03-23,22:00:30","Tempo","#1917","<@220271899656060928> | Added `Xanadu` by `Ummet Ozcan` to the queue.","Patchoras#0310",""
"2023-03-23,22:09:30","Tempo","#1917","To save on bandwidth, I've automatically left the voice channel due to inactivity.

To disable this, you can purchase Premium on our website: https://tempobot.net/premium
You can also unlock exclusive features like AutoPlay, Playlists, Volume Control and more!","",""
"2023-03-23,23:02:07","Tempo","#1917","<@220271899656060928> | Added `Under the Sea` by `Samuel E. Wright, Disney` to the queue.","Patchoras#0310",""
"2023-03-23,23:10:30","Tempo","#1917","To save on bandwidth, I've automatically left the voice channel due to inactivity.

To disable this, you can purchase Premium on our website: https://tempobot.net/premium
You can also unlock exclusive features like AutoPlay, Playlists, Volume Control and more!","",""
"2023-03-24,16:55:04","Tempo","#1917","<@220271899656060928> | Added `Dança da Solidão` by `Marisa Monte, Gilberto Gil` to the queue.","Patchoras#0310",""
"2023-03-24,17:04:30","Tempo","#1917","To save on bandwidth, I've automatically left the voice channel due to inactivity.

To disable this, you can purchase Premium on our website: https://tempobot.net/premium
You can also unlock exclusive features like AutoPlay, Playlists, Volume Control and more!","",""
"2023-03-24,17:46:50","Tempo","#1917","<@220271899656060928> | Added `on & on` by `piri, Tommy Villiers, piri & tommy` to the queue.","Patchoras#0310",""
"2023-03-24,17:54:30","Tempo","#1917","To save on bandwidth, I've automatically left the voice channel due to inactivity.

To disable this, you can purchase Premium on our website: https://tempobot.net/premium
You can also unlock exclusive features like AutoPlay, Playlists, Volume Control and more!","",""
"2023-03-24,18:16:31","Tempo","#1917","<@220271899656060928> | Added `Mr. Brightside` by `The Killers` to the queue.","Patchoras#0310",""
"2023-03-24,18:24:58","Green-bot","#5315","","",""
"2023-03-24,18:25:30","Tempo","#1917","To save on bandwidth, I've automatically left the voice channel due to inactivity.

To disable this, you can purchase Premium on our website: https://tempobot.net/premium
You can also unlock exclusive features like AutoPlay, Playlists, Volume Control and more!","",""
"2023-03-24,21:21:42","Green-bot","#5315","","",""
"2023-03-24,23:14:10","Green-bot","#5315","","",""
"2023-03-25,19:15:26","Green-bot","#5315","","",""
"2023-03-25,19:16:11","Green-bot","#5315","","",""
"2023-03-25,23:47:47","Green-bot","#5315","","",""
"2023-03-25,23:47:59","Green-bot","#5315","","",""
"2023-03-25,23:48:03","Green-bot","#5315","","",""
"2023-03-26,03:07:59","Green-bot","#5315","","",""
"2023-03-26,18:26:23","Green-bot","#5315","","",""
"2023-03-26,18:42:47","Tempo","#1917","<@220271899656060928> | Added `Glamurosa` by `MC Marcinho` to the queue.","Patchoras#0310",""
"2023-03-26,18:51:30","Tempo","#1917","To save on bandwidth, I've automatically left the voice channel due to inactivity.

To disable this, you can purchase Premium on our website: https://tempobot.net/premium
You can also unlock exclusive features like AutoPlay, Playlists, Volume Control and more!","",""
"2023-03-26,20:26:14","Tempo","#1917","<@220271899656060928> | Added `Eu Nao Vou Chorar` by `Sandro G` to the queue.","Patchoras#0310",""
"2023-03-26,20:26:15","Tempo","#1917","Sorry, but I failed to find a suitable source for **Eu Nao Vou Chorar** by **Sandro G**","",""
"2023-03-26,20:27:20","Green-bot","#5315","","",""
"2023-03-26,20:31:30","Tempo","#1917","To save on bandwidth, I've automatically left the voice channel due to inactivity.

To disable this, you can purchase Premium on our website: https://tempobot.net/premium
You can also unlock exclusive features like AutoPlay, Playlists, Volume Control and more!","",""
"2023-03-26,21:59:27","Green-bot","#5315","","",""
"2023-03-26,21:59:41","Green-bot","#5315","","",""
"2023-03-26,22:00:03","Green-bot","#5315","","",""
"2023-03-26,22:25:31","Green-bot","#5315","","",""
"2023-03-27,00:32:23","Green-bot","#5315","","",""
"2023-03-28,17:57:39","Green-bot","#5315","","",""
"2023-03-28,18:01:15","Green-bot","#5315","","",""
"2023-03-28,19:59:25","Green-bot","#5315","","",""
"2023-03-28,19:59:25","Green-bot","#5315","","",""
"2023-03-28,21:14:24","Green-bot","#5315","","",""
"2023-03-28,21:17:40","Green-bot","#5315","","",""
"2023-03-28,21:17:40","Green-bot","#5315","","",""
"2023-03-28,22:18:37","Green-bot","#5315","","",""
"2023-03-28,22:44:34","Green-bot","#5315","","",""
"2023-03-30,23:05:29","Green-bot","#5315","","",""
"2023-03-30,23:34:21","Green-bot","#5315","","",""
"2023-03-30,23:35:03","Green-bot","#5315","","",""
"2023-03-31,00:14:45","Green-bot","#5315","","",""
"2023-03-31,16:12:50","Green-bot","#5315","","",""
"2023-03-31,16:15:53","Green-bot","#5315","","",""
"2023-03-31,19:47:39","Green-bot","#5315","","",""
"2023-03-31,19:50:43","Green-bot","#5315","","",""
"2023-03-31,22:04:07","Green-bot","#5315","","",""
"2023-03-31,22:08:31","Green-bot","#5315","","",""
"2023-03-31,22:25:50","Green-bot","#5315","","",""
"2023-03-31,22:39:09","Green-bot","#5315","","",""
"2023-04-01,00:44:24","Green-bot","#5315","","",""
"2023-04-01,17:21:27","Green-bot","#5315","","",""
"2023-04-01,17:24:41","Green-bot","#5315","","",""
"2023-04-01,18:45:05","Green-bot","#5315","","",""
"2023-04-01,18:49:26","Green-bot","#5315","","",""
"2023-04-01,18:50:46","Green-bot","#5315","","",""
"2023-04-01,18:54:11","Green-bot","#5315","","",""
"2023-04-01,21:10:27","Green-bot","#5315","","",""
"2023-04-01,21:10:55","Green-bot","#5315","","",""
"2023-04-01,21:11:50","Tempo","#1917","<@246032185780469760> | Added `Gdzie jest biały węgorz ? (Zejście)` by `Cypis` to the queue.","leftwild#0",""
"2023-04-01,21:21:31","Tempo","#1917","To save on bandwidth, I've automatically left the voice channel due to inactivity.

To disable this, you can purchase Premium on our website: https://tempobot.net/premium
You can also unlock exclusive features like AutoPlay, Playlists, Volume Control and more!","",""
"2023-04-01,21:46:28","Green-bot","#5315","","",""
"2023-04-01,21:46:50","Green-bot","#5315","","",""
